Genus/species/complex	Serotype	NCBI accession no.	Length	TMS	Original HMM detected (score >20)
Klebsiella	KL22	KaptiveDB	381	12	TIGR04370.1
Klebsiella	KL23	KaptiveDB	378	11	-
Klebsiella	KL24	KaptiveDB	410	12	-
Klebsiella	KL25	KaptiveDB	379	12	-
Klebsiella	KL26	KaptiveDB	406	12	-
Klebsiella	KL27	KaptiveDB	413	13	PF14897.12
Klebsiella	KL28	KaptiveDB	419	12	-
Klebsiella	KL3	KaptiveDB	408	12	-
Klebsiella	KL30	KaptiveDB	437	12	PF04932.20
Klebsiella	KL31	KaptiveDB	366	12	PF14897.12
Klebsiella	KL32	KaptiveDB	396	10	TIGR04370.1
Klebsiella	KL33	KaptiveDB	394	12	-
Klebsiella	KL34	XAN29115.1	340	11	PF14897.12
Klebsiella	KL35	KaptiveDB	403	12	-
Klebsiella	KL36	KaptiveDB	330	11	PF14897.12
Klebsiella	KL37	KaptiveDB	381	12	TIGR04370.1
Klebsiella	KL38	KaptiveDB	409	13	PF14897.12
Klebsiella	KL39	KaptiveDB	403	13	PF14897.12
Klebsiella	KL4	KaptiveDB	444	12	PF04932.20
Klebsiella	KL40	KaptiveDB	413	10	-
Klebsiella	KL41	KaptiveDB	395	10	TIGR04370.1
Klebsiella	KL42	KaptiveDB	422	13	PF14897.12
Klebsiella	KL43	KaptiveDB	376	10	-
Klebsiella	KL44	KaptiveDB	354	11	-
Klebsiella	KL45	KaptiveDB	391	10	TIGR04370.1
Klebsiella	KL46	KaptiveDB	402	12	-
Klebsiella	KL47	KaptiveDB	416	10	TIGR04370.1
Klebsiella	KL48	KaptiveDB	321	11	PF14897.12
Klebsiella	KL49	KaptiveDB	442	11	TIGR04370.1
Klebsiella	KL5	KaptiveDB	403	13	PF19896.4
Klebsiella	KL51	KaptiveDB	362	10	-
Klebsiella	KL52	KaptiveDB	374	12	PF14897.12
Klebsiella	KL53	KaptiveDB	372	12	PF14897.12
Klebsiella	KL54	KaptiveDB	360	12	TIGR04370.1
Klebsiella	KL55	KaptiveDB	425	12	-
Klebsiella	KL56	KaptiveDB	363	12	PF14897.12
Klebsiella	KL57	KaptiveDB	392	12	PF04932.20
Klebsiella	KL58	KaptiveDB	461	11	TIGR04370.1
Klebsiella	KL59	KaptiveDB	425	13	PF14897.12
Klebsiella	KL6	KaptiveDB	428	12	PF04932.20
Klebsiella	KL60	KaptiveDB	365	12	PF14897.12
Klebsiella	KL61	KaptiveDB	449	13	PF04932.20
Klebsiella	KL62	KaptiveDB	388	12	PF04932.20
Klebsiella	KL63	KaptiveDB	429	11	TIGR04370.1
Klebsiella	KL64	KaptiveDB	403	12	PF04932.20
Klebsiella	KL65	KaptiveDB	420	13	PF14897.12
Klebsiella	KL66	KaptiveDB	472	13	-
Klebsiella	KL67	KaptiveDB	333	11	PF14897.12
Klebsiella	KL68	KaptiveDB	413	12	-
Klebsiella	KL69	KaptiveDB	415	12	PF04932.20
Klebsiella	KL7	KaptiveDB	391	13	PF14897.12
Klebsiella	KL70	KaptiveDB	385	12	PF14897.12
Klebsiella	KL71	KaptiveDB	403	12	PF04932.20
Klebsiella	KL72	KaptiveDB	392	10	TIGR04370.1
Klebsiella	KL74	KaptiveDB	410	12	PF04932.20
Klebsiella	KL79	KaptiveDB	395	12	PF14897.12
Klebsiella	KL8	KaptiveDB	350	12	PF14897.12
Klebsiella	KL80	BAT24408.1	412	12	PF04932.20
Klebsiella	KL81	KaptiveDB	371	12	PF14897.12
Klebsiella	KL82	KaptiveDB	346	12	PF14897.12
Klebsiella	KL9	KaptiveDB	390	10	-
Paeruginosa	O1	AAM27546.1	474	12	PF14296.11
Paeruginosa	O10	AAM27560.1	444	11	TIGR04370.1
Paeruginosa	O11	AAM27574.1	411	12	-
Paeruginosa	O12	AAM27595.1	412	10	-
Paeruginosa	O13	AAM27615.1	391	11	PF04932.20
Paeruginosa	O15	AAM27645.1	416	12	IPR051533
Paeruginosa	O16	ABM21470.1	384	12	PF04932.20
Paeruginosa	O18	AAM27693.1	438	12	-
Paeruginosa	O19	AAM27711.1	444	11	TIGR04370.1
Paeruginosa	O2	ABM21469.1	384	12	PF04932.20
Paeruginosa	O20	AAM27748.1	438	12	-
Paeruginosa	O3	AAM27766.1	416	12	IPR051533
Paeruginosa	O4	AAM27782.1	399	11	-
Paeruginosa	O5	AAG06542.1	438	12	-
Paeruginosa	O7	AAM27831.1	403	12	-
Paeruginosa	O8	AAM27851.1	379	11	-
Paeruginosa	O9	AAM27879.1	384	12	PF14897.12
Proteus	O1	AXY99318.1	414	13	PF14897.12
Proteus	O10	ADL32296.1	396	11	-
Proteus	O11	AXY99417.1	391	12	PF04932.20
Proteus	O12	AXY99432.1	377	12	PF14897.12
Proteus	O13	AXY99447.1	348	12	PF14897.12
Proteus	O14ab	AXY99463.1	338	11	PF14897.12
Proteus	O16	AXY99476.1	455	12	PF14296.11
Proteus	O17	AXY99492.1	447	11	-
Proteus	O18	QIM23321.1	354	12	PF14897.12
Proteus	O19a	AXY99523.1	364	12	PF14897.12
Proteus	O2	AXY99336.1	364	12	PF14897.12
Proteus	O20	AXY99542.1	407	12	PF04932.20
Proteus	O21	AXY99555.1	391	12	PF04932.20
Proteus	O23ac	ADL32314.1	398	10	TIGR04370.1
Proteus	O24	AXY99570.1	391	12	PF04932.20
Proteus	O25	AXY99585.1	392	12	-
Proteus	O26	AXY99601.1	394	12	-
Proteus	O27	ADL32320.1	363	12	PF14897.12
Proteus	O28	AXZ00116.1	393	12	-
Proteus	O29ab	AXY99612.1	391	12	PF04932.20
Proteus	O30	AXY99624.1	368	12	-
Proteus	O31ab	AXY99635.1	385	10	TIGR04370.1
Proteus	O32	AXY99655.1	360	12	PF14897.12
Proteus	O33	AXY99670.1	371	12	-
Proteus	O34	AXY99682.1	397	13	PF14897.12
Proteus	O36	AXY99696.1	400	10	TIGR04370.1
Proteus	O37ab	AXY99713.1	424	11	TIGR04370.1
Proteus	O3ac	ADL32282.1	344	12	PF14897.12
Proteus	O40	AXY99727.1	355	12	PF14897.12
Proteus	O41	AXY99743.1	338	11	PF14897.12
Proteus	O42	AXY99754.1	382	10	NF033860.0
Proteus	O44	AXY99768.1	396	12	-
Proteus	O45	AXY99788.1	396	12	PF14897.12
Proteus	O47	ADL32336.1	414	12	PF04932.20
Proteus	O48	AXY99801.1	390	12	PF04932.20
Proteus	O5	AXY99352.1	379	12	PF04932.20
Proteus	O50	AXY99813.1	418	13	PF14897.12
Proteus	O51	AXY99835.1	401	12	-
Proteus	O52	AXY99843.1	356	10	-
Proteus	O53	AXY99857.1	387	12	PF14897.12
Proteus	O54ab	AXY99873.1	455	12	PF14296.11
Proteus	O55	AXY99885.1	426	11	TIGR04370.1
Proteus	O56	AXY99906.1	427	11	TIGR04370.1
Proteus	O57	AXY99926.1	359	12	-
Proteus	O58	AXY99943.1	401	12	PF04932.20
Proteus	O59	AXY99961.1	404	12	-
Proteus	O6	AXY99368.1	429	12	-
Proteus	O60	AXZ00132.1	368	12	-
Proteus	O61	AXY99974.1	370	12	-
Proteus	O62	AXY99991.1	349	11	PF14897.12
Proteus	O65	AXZ00003.1	393	12	-
Proteus	O67	AXZ00013.1	394	12	PF04932.20
Proteus	O69	AXZ00032.1	422	12	-
Proteus	O71	AXZ00047.1	361	12	PF14897.12
Proteus	O72ab	AXZ00060.1	370	12	PF04932.20
Proteus	O73ab	AXZ00072.1	381	12	PF14897.12
Proteus	O74	AXZ00085.1	474	12	-
Proteus	O75	AXZ00101.1	356	12	PF14897.12
Proteus	O8	AXY99381.1	398	10	TIGR04370.1
Proteus	O9	AXY99400.1	259	8	-
Salmonella	A	AAV77445.1	407	11	TIGR04370.1
Salmonella	B1	AAA27210.1	407	11	TIGR04370.1
Salmonella	B2	ACF92750.1	391	10	-
Salmonella	C2	ACF64132.1	399	11	PF04932.20
Salmonella	D1	ACH74809.1	407	11	TIGR04370.1
Salmonella	D2	AGS07363.1	396	10	PF14296.11
Salmonella	D3	AGS07346.1	391	10	-
Salmonella	E	CAA43077.1	392	10	PF14296.11
Salmonella	O11 (F)	AFW04820.1	359	12	PF14897.12
Salmonella	O13 (G)	ABP35578.1	388	10	-
Salmonella	O16(I)	ADV17638.1	410	11	PF14897.12
Salmonella	O17(J)	ABL63455.1	372	12	-
Salmonella	O18(K)	ABL63451.1	440	12	-
Salmonella	O21(L)	AFW04741.1	362	12	PF04932.20
Salmonella	O28ac(M)	ACO40479.1	431	11	TIGR04370.1
Salmonella	O30(N)	AAV34507.1	383	10	TIGR04370.1
Salmonella	O35 (O)	AAK83017.1	354	11	PF04932.20
Salmonella	O38(P)	ADV17634.1	360	12	PF14897.12
Salmonella	O39(Q)	AFW04696.1	446	13	-
Salmonella	O40(R)	AFW04706.1	455	12	PF14296.11
Salmonella	O41(S)	ACJ26814.1	406	10	NF033860.0
Salmonella	O42(T)	AFW04812.1	338	11	PF14897.12
Salmonella	O43(U)	AFW04802.1	447	12	PF14296.11
Salmonella	O44(V)	AFW04828.1	377	12	-
Salmonella	O45(W)	AFW04716.1	387	12	-
Salmonella	O47(X)	AFW04867.1	364	12	PF14897.12
Salmonella	O48(Y)	AFW04668.1	397	12	PF04932.20
Salmonella	O50(Z) 	AAV34523.1	325	11	PF14897.12
Salmonella	O51	AFW04888.1	341	12	PF14897.12
Salmonella	O52	AFW04790.1	354	9	TIGR04370.1
Salmonella	O53	AFW04837.1	372	12	-
Salmonella	O55	ADI39344.1	375	12	PF14897.12
Salmonella	O56	ADI77005.1	392	10	NF033860.0
Salmonella	O57	AFW04883.1	345	12	PF14897.12
Salmonella	O58	ACJ26787.1	421	10	NF033860.0
Salmonella	O59	AFW04847.1	411	12	-
Salmonella	"O6,14(H)"	AAQ91207.1	447	12	PF14296.11
Salmonella	O6/O7 (C1)	AAB49386.1	359	12	PF14897.12
Salmonella	O60	AFW04860.1	349	12	PF14897.12
Salmonella	O61	AFW04757.1	441	12	-
Salmonella	O62	AFW04785.1	340	11	PF14897.12
Salmonella	O63	AFW04735.1	314	10	PF14897.12
Salmonella	O65	AFW04684.1	374	12	PF14897.12
Shigella	B1/O149	UGN72586.1	354	12	PF14897.12
Shigella	B5	AAL27327.1	363	10	-
Shigella	B10	AAW29815.1	350	12	PF14897.12
Shigella	B11	AAS98031.1	342	12	PF14897.12
Shigella	B12	ACD37026.1	379	12	PF04932.20
Shigella	B13	AAR24270.1	392	10	NF033860.0
Shigella	B14	ACD37051.1	403	12	-
Shigella	B15/O112ab	ACD37078.1	392	12	PF14897.12
Shigella	B16	ABD19779.1	385	12	PF04932.20
Shigella	B17	ABI55342.1	403	13	PF14897.12
Shigella	B18	AAY23339.1	369	10	TIGR04370.1
Shigella	B2	ACD37126.1	395	11	TIGR04370.1
Shigella	B3/O167	ACD37037.1	416	12	-
Shigella	B4	AAL27318.1	430	12	PF04932.20
Shigella	B6	AAL27339.1	350	12	PF14897.12
Shigella	B7	ACD37072.1	431	12	PF19982.4
Shigella	B8/O143	ACA24754.1	360	10	-
Shigella	B9	AAL27351.1	405	10	TIGR04370.1
Shigella	D1	UGN72378.1	380	11	TIGR04370.1
Shigella	D10	ACA24912.1	473	14	-
Shigella	D11/O29	ACA24840.1	387	12	PF14897.12
Shigella	D12/O152	ACA24811.1	357	12	PF14897.12
Shigella	D13/O150	ACA24792.1	365	12	PF14897.12
Shigella	D2/O112ac	ACD37006.1	361	12	-
Shigella	D3/O124	ACD37105.1	367	12	PF14897.12
Shigella	D4/O168	ACD36984.1	410	12	PF04932.20
Shigella	D5/O58	ACA24868.1	443	12	-
Shigella	D7/O121	AAR97964.1	396	10	NF033860.0
Shigella	D8	ACA24776.1	408	13	PF14897.12
Shigella	D9	ACD37111.1	401	12	-
Shigella	F1-5	UGN72493.1	382	12	-
Shigella	F6/O147	ACA24772.1	395	12	-
Spneumoniae	1	CAI32705.1	434	12	TIGR04370.1
Spneumoniae	2	CAI32727.1	387	11	PF04932.20
Spneumoniae	4	CAI32772.1	466	12	PF14296.11
Spneumoniae	5	CAI32797.1	401	12	-
Spneumoniae	8	CAI32957.1	387	12	-
Spneumoniae	13	CAI33309.1	386	12	-
Spneumoniae	14	CAI33324.1	390	12	PF04932.20
Spneumoniae	21	CAI33745.1	406	12	-
Spneumoniae	27	CAI34008.1	374	12	PF14897.12
Spneumoniae	29	CAI34080.1	393	12	-
Spneumoniae	31	CAI34099.1	420	12	-
Spneumoniae	34	CAI34269.1	456	11	TIGR04370.1
Spneumoniae	36	CAI34369.1	398	12	PF04932.20
Spneumoniae	37	CAI34388.1	407	12	PF04932.20
Spneumoniae	38	CAI34407.1	476	12	PF14296.11
Spneumoniae	39	CAI34436.1	425	12	-
Spneumoniae	40	CAI34454.1	410	12	-
Spneumoniae	42	CAI34519.1	397	12	PF04932.20
Spneumoniae	43	CAI34544.1	365	12	-
Spneumoniae	44	CAI34753.1	403	12	PF04932.20
Spneumoniae	45	CAI34587.1	362	12	PF14897.12
Spneumoniae	46	CAI34613.1	403	12	PF04932.20
Spneumoniae	48	CAI34680.1	393	12	-
Spneumoniae	10A	CAI33048.1	416	12	-
Spneumoniae	10B	CAI34733.1	416	12	-
Spneumoniae	10C	CAI33084.1	416	11	-
Spneumoniae	10D-39X		424	12	-
Spneumoniae	10F	CAI33105.1	416	11	-
Spneumoniae	11A	CAI33128.1	390	12	PF04932.20
Spneumoniae	11B	CAI33149.1	389	12	PF04932.20
Spneumoniae	11C	CAI33169.1	389	12	PF04932.20
Spneumoniae	11D	CAI33188.1	390	12	PF04932.20
Spneumoniae	11E	ADN28010.1	390	12	PF04932.20
Spneumoniae	11F	CAI33207.1	390	12	PF04932.20
Spneumoniae	12A	CAI33226.1	403	12	PF04932.20
Spneumoniae	12B	CAI33252.1	403	12	PF04932.20
Spneumoniae	12F	CAI33278.1	403	12	PF04932.20
Spneumoniae	15A	CAI33343.1	399	12	-
Spneumoniae	15B	CAI33366.1	390	12	PF04932.20
Spneumoniae	15C	CAI33389.1	390	12	PF04932.20
Spneumoniae	15F	CAI33412.1	403	12	-
Spneumoniae	16A	CAI33441.1	401	12	-
Spneumoniae	16F	CAI33466.1	420	12	-
Spneumoniae	17A	CAI33491.1	385	12	PF04932.20
Spneumoniae	17F	CAI33515.1	397	12	PF04932.20
Spneumoniae	18A	CAI33537.1	423	12	PF04932.20
Spneumoniae	18B	CAI33561.1	424	12	PF04932.20
Spneumoniae	18C	CAI33585.1	424	12	PF04932.20
Spneumoniae	18F	CAI33610.1	424	12	PF04932.20
Spneumoniae	19A	CAI33631.1	444	11	TIGR04370.1
Spneumoniae	19B	CAI33652.1	414	12	-
Spneumoniae	19C	CAI33675.1	414	12	-
Spneumoniae	19F	CAI33700.1	445	11	TIGR04370.1
Spneumoniae	20A	CAI33718.1	355	12	PF14897.12
Spneumoniae	20B	AFN40464.1	355	12	PF14897.12
Spneumoniae	22A	CAI33774.1	426	11	TIGR04370.1
Spneumoniae	22F	CAI33798.1	426	11	TIGR04370.1
Spneumoniae	23A	CAI33817.1	468	14	-
Spneumoniae	23B	CAI33840.1	395	12	NF041436.1
Spneumoniae	23F	CAI33862.1	397	12	NF041436.1
Spneumoniae	24A	CAI33890.1	416	12	PF04932.20
Spneumoniae	24B_1	CAI33915.1	416	12	PF04932.20
Spneumoniae	24C	UP74135.1	416	12	-
Spneumoniae	24F_1	CAI33941.1	416	12	PF04932.20
Spneumoniae	25A	CAI33966.2	476	12	PF14296.11
Spneumoniae	25F	CAI33983.1	476	12	PF14296.11
Spneumoniae	28A	CAI34032.1	410	12	PF04932.20
Spneumoniae	28F	CAI34057.2	410	12	PF04932.20
Spneumoniae	32A	CAI34124.1	411	12	-
Spneumoniae	32F	CAI34150.1	411	12	-
Spneumoniae	33A	CAI34177.1	407	12	PF04932.20
Spneumoniae	33B	CAI34198.1	402	12	-
Spneumoniae	33C	CAI34217.1	410	12	-
Spneumoniae	33D	CAI34236.1	402	12	-
Spneumoniae	33F	CAI34254.1	407	12	PF04932.20
Spneumoniae	33G	WNT95670.1	397	12	-
Spneumoniae	35A	CAI34286.1	397	12	-
Spneumoniae	35B	CAI34310.1	409	12	PF04932.20
Spneumoniae	35C	CAI34328.1	397	12	PF04932.20
Spneumoniae	35D	AQS23546.1	409	12	PF04932.20
Spneumoniae	35F	CAI34348.1	406	12	-
Spneumoniae	41A	CAI34475.1	419	12	PF04932.20
Spneumoniae	41F	CAI34498.1	419	12	PF04932.20
Spneumoniae	47A	CAI34641.1	362	12	-
Spneumoniae	47F	CAI34657.1	406	12	-
Spneumoniae	6A	CAI32823.1	447	11	TIGR04370.1
Spneumoniae	6B	CAI32843.1	447	11	TIGR04370.1
Spneumoniae	6C	AEO88686.1	445	11	TIGR04370.1
Spneumoniae	6D	ADO95346.1	447	11	TIGR04370.1
Spneumoniae	6E	SBT85383.1	447	11	TIGR04370.1
Spneumoniae	6F	AHF51336.1	447	11	TIGR04370.1
Spneumoniae	6G	AHF51351.1	447	11	TIGR04370.1
Spneumoniae	7A	CAI32867.1	483	14	-
Spneumoniae	7B	CAI32889.1	415	12	-
Spneumoniae	7C	CAI32910.1	415	12	-
Spneumoniae	7F	CAI32935.1	483	14	-
Spneumoniae	9A	CAI32973.1	379	12	PF04932.20
Spneumoniae	9L	CAI32993.1	379	12	PF04932.20
Spneumoniae	9N	CAI33011.1	379	12	PF04932.20
Spneumoniae	9V	CAI33029.1	380	12	PF04932.20
Ypseudotuberculosis	O:10	ADX97403.1	347	11	Wzy_C
Ypseudotuberculosis	O:11	ACV52983.1	406	10	NF033860.0
Ypseudotuberculosis	O:12	AFV46136.1	363	12	PF14897.12
Ypseudotuberculosis	O:15	CAX18360.1	404	11	-
Ypseudotuberculosis	O:1a	AAN23041.1	361	10	-
Ypseudotuberculosis	O:1b	CAB63298.1	406	10	NF033860.0
Ypseudotuberculosis	O:1c	ADI59429.1	450	13	-
Ypseudotuberculosis	O:2a	AAN23078.1	361	10	-
Ypseudotuberculosis	O:2b	ADI59445.1	450	13	-
Ypseudotuberculosis	O:2c	AKA20935.1	432	12	-
Ypseudotuberculosis	O:3	AJJ60823.1	419	10	NF033860.0
Ypseudotuberculosis	O:4a	AKA20966.1	432	12	-
Ypseudotuberculosis	O:4b	AAN23057.1	361	10	-
Ypseudotuberculosis	O:5a	AKA20981.1	404	11	-
Ypseudotuberculosis	O:5b	AKA20999.1	407	11	-
Ypseudotuberculosis	O:6	AEP25500.1	329	11	EpsG
Ypseudotuberculosis	O:7	AEP25477.1	398	12	PF04932.20
Ypseudotuberculosis	O:9	CDF66396.1	437	12	TIGR04370.1
